Project Type,Location,Vintage,Co-Benefits,Base Price
Methane Capture,Africa,2017,Medium,9.69809391605261
Energy Efficiency,Africa,2014,Medium,7.2059277584988255
Reforestation,Africa,2001,Medium,12.317767957886097
Methane Capture,South America,2009,None,6.95071673766708
Methane Capture,North America,2022,None,17.532203545734916
Energy Efficiency,South America,2011,High,10.555954794129597
Reforestation,North America,2016,High,10.622053516726945
Reforestation,South America,2007,None,12.110096427247338
Methane Capture,South America,2010,High,11.661915697486275
Renewable Energy,Europe,2002,Low,19.92286959588982
Methane Capture,South America,2005,Low,13.180716818274538
Methane Capture,Asia,2008,None,6.3230255568480604
Methane Capture,Europe,2005,High,14.10316012365395
Methane Capture,South America,2008,Medium,7.273764393048199
Energy Efficiency,Africa,2006,Low,5.46406467097013
Reforestation,Asia,2008,None,19.561132305158722
Energy Efficiency,Asia,2017,High,16.603083373018457
Energy Efficiency,Asia,2011,None,19.701634886206506
Energy Efficiency,Europe,2007,Medium,12.168176720333637
Methane Capture,South America,2007,Low,12.983862967234643
Renewable Energy,South America,2017,None,7.525054338786953
Reforestation,Africa,2019,None,8.703611400013784
Renewable Energy,Africa,2014,None,17.57823822354242
Energy Efficiency,Asia,2006,Medium,10.342784706763911
Energy Efficiency,Africa,2010,None,17.402224606946284
Renewable Energy,Europe,2019,Medium,15.635205864305476
Renewable Energy,South America,2015,Medium,7.6575638790779825
Renewable Energy,Asia,2003,Medium,12.611695491796132
Energy Efficiency,Africa,2005,Low,15.160809822780752
Energy Efficiency,Europe,2021,Low,8.525558222057377
Reforestation,Europe,2002,None,17.46032765780115
Reforestation,Africa,2008,None,13.172414863177803
Energy Efficiency,South America,2009,Low,7.478630756639048
Renewable Energy,Africa,2013,High,13.744766392469037
Renewable Energy,Asia,2010,Low,19.99570706233871
Reforestation,Africa,2017,Medium,7.257822374951203
Energy Efficiency,Europe,2021,Low,17.25135395179292
Reforestation,Africa,2011,Medium,8.10963504781337
Reforestation,South America,2022,None,16.73582494190131
Methane Capture,North America,2011,High,16.0186688468212
Methane Capture,Africa,2012,None,9.507340784006486
Methane Capture,South America,2024,Medium,9.887346763466748
Renewable Energy,South America,2012,Medium,16.887820879443787
Energy Efficiency,Europe,2018,Medium,11.92168267830969
Energy Efficiency,South America,2018,High,15.962270430677131
Energy Efficiency,South America,2022,Low,7.219762210487522
Energy Efficiency,South America,2013,None,17.7883667285233
Methane Capture,South America,2003,None,15.663270750234787
Renewable Energy,Asia,2012,Low,18.604142132522508
Renewable Energy,Asia,2007,None,6.985585685524587
Methane Capture,Europe,2022,High,13.895217505408965
Renewable Energy,Africa,2020,None,13.986808775604878
Methane Capture,South America,2022,Medium,10.301911108201736
Energy Efficiency,Africa,2018,Low,11.876996368538867
Methane Capture,Africa,2011,High,5.569723449347802
Energy Efficiency,Europe,2017,Low,16.18790057940518
Energy Efficiency,South America,2005,High,13.239837191047611
